t_ms,step,beam,score,prefix,next_token_id,next_token_str,new_seq
1761104678685,1326,1,,,-1,,
1761104678685,1326,2,,,-1,,
1761104678714,1327,0,,,-1,,
1761104678714,1327,1,,,-1,,
1761104678714,1327,2,,,-1,,
1761104678743,1328,0,,,-1,,
1761104678743,1328,1,,,-1,,
1761104678743,1328,2,,,-1,,
1761104678773,1329,0,,,-1,,
1761104678773,1329,1,,,-1,,
1761104678773,1329,2,,,-1,,
1761104678801,1330,0,,,-1,,
1761104678801,1330,1,,,-1,,
1761104678801,1330,2,,,-1,,
1761104678830,1331,0,,,-1,,
1761104678830,1331,1,,,-1,,
1761104678830,1331,2,,,-1,,
1761104678859,1332,0,,,-1,,
1761104678859,1332,1,,,-1,,
1761104678859,1332,2,,,-1,,
1761104678888,1333,0,,,-1,,
1761104678888,1333,1,,,-1,,
1761104678888,1333,2,,,-1,,
1761104678918,1334,0,,,-1,,
1761104678918,1334,1,,,-1,,
1761104678918,1334,2,,,-1,,
1761104678947,1335,0,,,-1,,
1761104678947,1335,1,,,-1,,
1761104678947,1335,2,,,-1,,
1761104678976,1336,0,,,-1,,
1761104678976,1336,1,,,-1,,
1761104678976,1336,2,,,-1,,
1761104679005,1337,0,,,-1,,
1761104679005,1337,1,,,-1,,
1761104679005,1337,2,,,-1,,
1761104679035,1338,0,,,-1,,
1761104679035,1338,1,,,-1,,
1761104679035,1338,2,,,-1,,
1761104679064,1339,0,,,-1,,
1761104679064,1339,1,,,-1,,
1761104679064,1339,2,,,-1,,
1761104679093,1340,0,,,-1,,
1761104679093,1340,1,,,-1,,
1761104679093,1340,2,,,-1,,
1761104679122,1341,0,,,-1,,
1761104679122,1341,1,,,-1,,
1761104679122,1341,2,,,-1,,
1761104679151,1342,0,,,-1,,
1761104679151,1342,1,,,-1,,
1761104679151,1342,2,,,-1,,
1761104679180,1343,0,,,-1,,
1761104679180,1343,1,,,-1,,
1761104679180,1343,2,,,-1,,
1761104679209,1344,0,,,-1,,
1761104679209,1344,1,,,-1,,
1761104679209,1344,2,,,-1,,
1761104679238,1345,0,,,-1,,
1761104679238,1345,1,,,-1,,
1761104679238,1345,2,,,-1,,
1761104679267,1346,0,,,-1,,
1761104679267,1346,1,,,-1,,
1761104679267,1346,2,,,-1,,
1761104679296,1347,0,,,-1,,
1761104679296,1347,1,,,-1,,
1761104679296,1347,2,,,-1,,
1761104679325,1348,0,,,-1,,
1761104679325,1348,1,,,-1,,
1761104679325,1348,2,,,-1,,
1761104679355,1349,0,,,-1,,
1761104679355,1349,1,,,-1,,
1761104679355,1349,2,,,-1,,
1761104679384,1350,0,,,-1,,
1761104679384,1350,1,,,-1,,
1761104679384,1350,2,,,-1,,
1761104679413,1351,0,,,-1,,
1761104679413,1351,1,,,-1,,
1761104679413,1351,2,,,-1,,
1761104679443,1352,0,,,-1,,
1761104679443,1352,1,,,-1,,
1761104679443,1352,2,,,-1,,
1761104679472,1353,0,,,-1,,
1761104679472,1353,1,,,-1,,
1761104679472,1353,2,,,-1,,
1761104679502,1354,0,,,-1,,
1761104679502,1354,1,,,-1,,
1761104679502,1354,2,,,-1,,
1761104679531,1355,0,,,-1,,
1761104679531,1355,1,,,-1,,
1761104679531,1355,2,,,-1,,
1761104679561,1356,0,,,-1,,
1761104679561,1356,1,,,-1,,
1761104679561,1356,2,,,-1,,
1761104679590,1357,0,,,-1,,
1761104679590,1357,1,,,-1,,
1761104679590,1357,2,,,-1,,
1761104679619,1358,0,,,-1,,
1761104679619,1358,1,,,-1,,
1761104679619,1358,2,,,-1,,
1761104679649,1359,0,,,-1,,
1761104679649,1359,1,,,-1,,
1761104679649,1359,2,,,-1,,
1761104679678,1360,0,,,-1,,
1761104679678,1360,1,,,-1,,
1761104679678,1360,2,,,-1,,
1761104679708,1361,0,,,-1,,
1761104679708,1361,1,,,-1,,
1761104679708,1361,2,,,-1,,
1761104679738,1362,0,,,-1,,
1761104679738,1362,1,,,-1,,
1761104679738,1362,2,,,-1,,
1761104679767,1363,0,,,-1,,
1761104679768,1363,1,,,-1,,
1761104679768,1363,2,,,-1,,
1761104679799,1364,0,,,-1,,
1761104679799,1364,1,,,-1,,
1761104679799,1364,2,,,-1,,
1761104679832,1365,0,,,-1,,
1761104679832,1365,1,,,-1,,
1761104679832,1365,2,,,-1,,
1761104679863,1366,0,,,-1,,
1761104679863,1366,1,,,-1,,
1761104679863,1366,2,,,-1,,
1761104679893,1367,0,,,-1,,
1761104679893,1367,1,,,-1,,
1761104679893,1367,2,,,-1,,
1761104679923,1368,0,,,-1,,
1761104679923,1368,1,,,-1,,
1761104679923,1368,2,,,-1,,
1761104679953,1369,0,,,-1,,
1761104679953,1369,1,,,-1,,
1761104679953,1369,2,,,-1,,
1761104679983,1370,0,,,-1,,
1761104679983,1370,1,,,-1,,
1761104679983,1370,2,,,-1,,
1761104680013,1371,0,,,-1,,
1761104680013,1371,1,,,-1,,
1761104680013,1371,2,,,-1,,
1761104680044,1372,0,,,-1,,
1761104680044,1372,1,,,-1,,
1761104680044,1372,2,,,-1,,
1761104680073,1373,0,,,-1,,
1761104680074,1373,1,,,-1,,
1761104680074,1373,2,,,-1,,
1761104680103,1374,0,,,-1,,
1761104680103,1374,1,,,-1,,
1761104680103,1374,2,,,-1,,
1761104680133,1375,0,,,-1,,
1761104680133,1375,1,,,-1,,
1761104680133,1375,2,,,-1,,
1761104680164,1376,0,,,-1,,
1761104680164,1376,1,,,-1,,
1761104680164,1376,2,,,-1,,
1761104680194,1377,0,,,-1,,
1761104680194,1377,1,,,-1,,
1761104680194,1377,2,,,-1,,
1761104680224,1378,0,,,-1,,
1761104680224,1378,1,,,-1,,
1761104680224,1378,2,,,-1,,
1761104680254,1379,0,,,-1,,
1761104680254,1379,1,,,-1,,
1761104680254,1379,2,,,-1,,
1761104680286,1380,0,,,-1,,
1761104680286,1380,1,,,-1,,
1761104680286,1380,2,,,-1,,
1761104680317,1381,0,,,-1,,
1761104680317,1381,1,,,-1,,
1761104680317,1381,2,,,-1,,
1761104680348,1382,0,,,-1,,
1761104680348,1382,1,,,-1,,
1761104680348,1382,2,,,-1,,
1761104680378,1383,0,,,-1,,
1761104680378,1383,1,,,-1,,
1761104680378,1383,2,,,-1,,
1761104680408,1384,0,,,-1,,
1761104680408,1384,1,,,-1,,
1761104680408,1384,2,,,-1,,
1761104680439,1385,0,,,-1,,
1761104680439,1385,1,,,-1,,
1761104680439,1385,2,,,-1,,
1761104680469,1386,0,,,-1,,
1761104680469,1386,1,,,-1,,
1761104680469,1386,2,,,-1,,
1761104680499,1387,0,,,-1,,
1761104680499,1387,1,,,-1,,
1761104680499,1387,2,,,-1,,
1761104680530,1388,0,,,-1,,
1761104680530,1388,1,,,-1,,
1761104680530,1388,2,,,-1,,
1761104680560,1389,0,,,-1,,
1761104680560,1389,1,,,-1,,
1761104680560,1389,2,,,-1,,
1761104680590,1390,0,,,-1,,
1761104680590,1390,1,,,-1,,
1761104680590,1390,2,,,-1,,
1761104680620,1391,0,,,-1,,
1761104680620,1391,1,,,-1,,
1761104680620,1391,2,,,-1,,
1761104680651,1392,0,,,-1,,
1761104680651,1392,1,,,-1,,
1761104680651,1392,2,,,-1,,
1761104680681,1393,0,,,-1,,
1761104680681,1393,1,,,-1,,
1761104680681,1393,2,,,-1,,
1761104680712,1394,0,,,-1,,
1761104680712,1394,1,,,-1,,
1761104680712,1394,2,,,-1,,
1761104680742,1395,0,,,-1,,
1761104680743,1395,1,,,-1,,
1761104680743,1395,2,,,-1,,
1761104680773,1396,0,,,-1,,
1761104680773,1396,1,,,-1,,
1761104680773,1396,2,,,-1,,
1761104680803,1397,0,,,-1,,
1761104680803,1397,1,,,-1,,
1761104680803,1397,2,,,-1,,
1761104680833,1398,0,,,-1,,
1761104680833,1398,1,,,-1,,
1761104680833,1398,2,,,-1,,
1761104680864,1399,0,,,-1,,
1761104680864,1399,1,,,-1,,
1761104680864,1399,2,,,-1,,
1761104680894,1400,0,,,-1,,
1761104680894,1400,1,,,-1,,
1761104680894,1400,2,,,-1,,
1761104680924,1401,0,,,-1,,
1761104680924,1401,1,,,-1,,
1761104680924,1401,2,,,-1,,
1761104680955,1402,0,,,-1,,
1761104680955,1402,1,,,-1,,
1761104680955,1402,2,,,-1,,
1761104680985,1403,0,,,-1,,
1761104680985,1403,1,,,-1,,
1761104680985,1403,2,,,-1,,
1761104681015,1404,0,,,-1,,
1761104681015,1404,1,,,-1,,
1761104681015,1404,2,,,-1,,
1761104681046,1405,0,,,-1,,
1761104681046,1405,1,,,-1,,
1761104681046,1405,2,,,-1,,
1761104681077,1406,0,,,-1,,
1761104681077,1406,1,,,-1,,
1761104681077,1406,2,,,-1,,
1761104681108,1407,0,,,-1,,
1761104681108,1407,1,,,-1,,
1761104681108,1407,2,,,-1,,
1761104681139,1408,0,,,-1,,
1761104681139,1408,1,,,-1,,
1761104681139,1408,2,,,-1,,
1761104681169,1409,0,,,-1,,
1761104681169,1409,1,,,-1,,
1761104681169,1409,2,,,-1,,
1761104681200,1410,0,,,-1,,
1761104681200,1410,1,,,-1,,
1761104681200,1410,2,,,-1,,
1761104681230,1411,0,,,-1,,
1761104681230,1411,1,,,-1,,
1761104681230,1411,2,,,-1,,
1761104681261,1412,0,,,-1,,
1761104681261,1412,1,,,-1,,
1761104681261,1412,2,,,-1,,
1761104681291,1413,0,,,-1,,
1761104681291,1413,1,,,-1,,
1761104681291,1413,2,,,-1,,
1761104681322,1414,0,,,-1,,
1761104681322,1414,1,,,-1,,
1761104681322,1414,2,,,-1,,
1761104681352,1415,0,,,-1,,
1761104681352,1415,1,,,-1,,
1761104681352,1415,2,,,-1,,
1761104681383,1416,0,,,-1,,
1761104681383,1416,1,,,-1,,
1761104681383,1416,2,,,-1,,
1761104681413,1417,0,,,-1,,
1761104681413,1417,1,,,-1,,
1761104681413,1417,2,,,-1,,
1761104681444,1418,0,,,-1,,
1761104681444,1418,1,,,-1,,
1761104681444,1418,2,,,-1,,
1761104681475,1419,0,,,-1,,
1761104681475,1419,1,,,-1,,
1761104681475,1419,2,,,-1,,
1761104681505,1420,0,,,-1,,
1761104681505,1420,1,,,-1,,
1761104681505,1420,2,,,-1,,
1761104681536,1421,0,,,-1,,
1761104681536,1421,1,,,-1,,
1761104681536,1421,2,,,-1,,
1761104681566,1422,0,,,-1,,
1761104681566,1422,1,,,-1,,
1761104681566,1422,2,,,-1,,
1761104681597,1423,0,,,-1,,
1761104681597,1423,1,,,-1,,
1761104681597,1423,2,,,-1,,
1761104681628,1424,0,,,-1,,
1761104681628,1424,1,,,-1,,
1761104681628,1424,2,,,-1,,
1761104681659,1425,0,,,-1,,
